id,ids_prism,ids_espn,ids_fantasypros,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay
01rb14s3zm,01rb14s3zm,4431545,22930,00-0039746,21141,ShipWi00,11577,796e223d-e8d5-42ab-afb4-557fa6183357,Q109187026,41002,W.Shipley,William,Will Shipley,"Shipley, Will","Shipley, W",William Shipley,,Will Shipley,Shipley,Will,,2002-08-29,2002,08,29
059xleevqh,059xleevqh,4427366,22982,00-0038120,19427,HallBr03,8155,db1053d7-3343-43a3-9aab-8353f10f1221,Q99670654,33991,B.Hall,Breece,Breece Hall,"Hall, Breece","Hall, B",Breece Hall,,Breece Hall,Hall,Breece,,2001-05-31,2001,05,31
09w695n8hr,09w695n8hr,4242431,19471,00-0037276,19471,ChanTy01,8230,a0833a94-60ce-4a3a-a32a-d067fe7b253d,Q111818676,34125,T.Chandler,Tykevious,Ty Chandler,"Chandler, Ty","Chandler, T",Tykevious Chandler,,Ty Chandler,Chandler,Ty,,1998-05-12,1998,05,12
0dkxe1x2th,0dkxe1x2th,4362921,22913,00-0038104,19491,ThorTy00,8188,74cda487-2026-42e0-ae32-77f3502cfb11,Q111085291,34005,T.Thornton,Tyquan,Tyquan Thornton,"Thornton, Tyquan","Thornton, T",Tyquan Thornton,,Tyquan Thornton,Thornton,Tyquan,,2000-08-07,2000,08,07
0n8d26yxmh,0n8d26yxmh,4710714,28138,00-0041035,23066,StriDe01,13417,ca6fa516-adeb-4fd2-9408-17c9c2e38798,Q130332377,42655,D.Stribling,De'Zhaun-Ryan,De'Zhaun Stribling,"Stribling, De'Zhaun","Stribling, D",De'Zhaun-Ryan Stribling,,De'Zhaun Stribling,Stribling,De'Zhaun,,2002-12-18,2002,12,18
0nr4xs8zx0,0nr4xs8zx0,4685522,25368,00-0041568,22936,SimpTy00,13275,2e62e603-363a-425f-8c57-0a1600476c85,Q116234477,42635,T.Simpson,Tyler,Ty Simpson,"Simpson, Ty","Simpson, T",Tyler Simpson,,Ty Simpson,Simpson,Ty,,2002-12-21,2002,12,21
0p11t6bxgr,0p11t6bxgr,4360438,19252,00-0036261,17983,AiyuBr00,6803,c90471cc-fa60-4416-9388-5aebb5d877eb,Q75837911,32695,B.Aiyuk,Brandon,Brandon Aiyuk,"Aiyuk, Brandon","Aiyuk, B",Brandon Aiyuk,,Brandon Aiyuk,Aiyuk,Brandon,,1998-03-17,1998,03,17
0ph881prrd,0ph881prrd,4432665,22955,00-0039338,21123,BoweBr01,11604,ad9fc7e3-0a6d-4e41-84c2-cf43b71aee13,Q108691451,40878,B.Bowers,Brock,Brock Bowers,"Bowers, Brock","Bowers, B",Brock Bowers,,Brock Bowers,Bowers,Brock,,2002-12-13,2002,12,13
0pp77rg64h,0pp77rg64h,4431536,23014,00-0040400,21149,EdwaDo01,12515,162f3110-24fe-11f0-9c33-270dfe4c58dc,Q108408578,42226,D.Edwards,Donovan,Donovan Edwards,"Edwards, Donovan","Edwards, D",Donovan Edwards,,Donovan Edwards,Edwards,Donovan,,2003-02-25,2003,02,25
0ps0bjgzy0,0ps0bjgzy0,4837248,28013,00-0041562,22928,MendFe00,13269,b1ded115-092a-4199-9a55-cab9f4b5bb18,Q123411920,42623,F.Mendoza,Fernando,Fernando Mendoza,"Mendoza, Fernando","Mendoza, F",Fernando Mendoza,,Fernando Mendoza,Mendoza,Fernando,,2003-10-01,2003,10,01
0z7b94ldpd,0z7b94ldpd,3043078,15514,00-0032764,15055,HenrDe00,3198,87c481c7-7414-43cc-82df-19ca0c2ae22e,Q16729768,29279,D.Henry,Derrick,Derrick Henry,"Henry, Derrick","Henry, D",Derrick Henry,,Derrick Henry,Henry,Derrick,,1994-01-04,1994,01,04
10nt79jntd,10nt79jntd,4711533,25984,00-0040198,22071,GordOl00,12495,42753bb4-a416-4d40-bf81-f20d2181be2f,Q115587460,41969,O.Gordon,Ollie,Ollie Gordon,"Gordon, Ollie","Gordon, O",Ollie Gordon II,II,Ollie Gordon II,Gordon,Ollie,,2004-01-15,2004,01,15
12efcy7m2m,12efcy7m2m,4912052,28079,00-0041077,23141,JolyJu00,13400,014c6825-61ca-486d-9c4d-ca0968b58888,Q131139492,42764,J.Joly,Justin,Justin Joly,"Joly, Justin","Joly, J",Justin Joly,,Justin Joly,Joly,Justin,,2004-07-09,2004,07,09
12wbgphfqw,12wbgphfqw,4244049,22820,00-0036590,19291,MorrQu00,7536,eab74cbc-ed11-46b3-bd16-1d4c997adc22,Q109528957,33819,Q.Morris,Quintin,Quintin Morris,"Morris, Quintin","Morris, Q",Quintin Morris,,Quintin Morris,Morris,Quintin,,1999-01-21,1999,01,21
1540mysd5m,1540mysd5m,4431611,23084,00-0039918,21124,WillCa03,11560,49d4b627-3f19-49a8-ae33-f539e0fb1f88,Q108878513,40900,C.Williams,Caleb,Caleb Williams,"Williams, Caleb","Williams, C",Caleb Williams,,Caleb Williams,Williams,Caleb,,2001-11-18,2001,11,18
1crb9kwkcr,1crb9kwkcr,2975674,16502,00-0033757,15751,TonyRo00,4602,7c9c7800-69d0-459b-812b-a07ac48e9f2a,Q56544042,30777,R.Tonyan,Robert,Robert Tonyan,"Tonyan, Robert","Tonyan, R",Robert Tonyan,,Robert Tonyan,Tonyan,Robert,,1994-04-30,1994,04,30
1dtwzb8z64,1dtwzb8z64,4430723,26343,00-0039824,21304,WileJa00,11595,a952a370-a43f-45ec-8371-0665f0b9551e,Q123615627,40978,J.Wiley,Jared,Jared Wiley,"Wiley, Jared","Wiley, J",Jared Wiley,,Jared Wiley,Wiley,Jared,,2000-11-02,2000,11,02
1dx1b5rhq0,1dx1b5rhq0,4426689,23112,00-0040476,22461,BentUl00,12826,f71d0370-23b2-11f0-b632-8947e146a0ae,Q132435855,42126,U.Bentley,Ulysses,Ulysses Bentley,"Bentley, Ulysses","Bentley, U",Ulysses Bentley IV,IV,Ulysses Bentley IV,Bentley,Ulysses,,2000-12-30,2000,12,30
1f750xjkhm,1f750xjkhm,4569618,23072,00-0037740,19431,WilsGa00,8146,68d72fe0-79b2-4fdb-afd5-6c79676e77f3,Q104524010,33965,G.Wilson,Garrett,Garrett Wilson,"Wilson, Garrett","Wilson, G",Garrett Wilson,,Garrett Wilson,Wilson,Garrett,,2000-07-22,2000,07,22
1h0t5q0gy0,1h0t5q0gy0,4035656,22843,00-0036862,19129,SkowBe00,7757,5521ba64-e615-4d50-b9bf-490498571ac7,Q102046795,33637,B.Skowronek,Bennett,Ben Skowronek,"Skowronek, Ben","Skowronek, B",Bennett Skowronek,,Ben Skowronek,Skowronek,Ben,,1997-06-27,1997,06,27
1k1xvf02bw,1k1xvf02bw,4383396,25941,00-0038738,21079,LuepHu00,11510,58f425d0-f677-11ed-978f-0975e9cb7dba,Q114498061,40780,H.Luepke,Hunter,Hunter Luepke,"Luepke, Hunter","Luepke, H",Hunter Luepke,,Hunter Luepke,Luepke,Hunter,,2000-02-28,2000,02,28
1nf9zydt44,1nf9zydt44,4429299,26212,00-0040208,22300,BrooTa00,12543,8d50af87-f6dc-42cb-a7e7-11716667a1dc,Q122999654,41983,T.Brooks,Tahj,Tahj Brooks,"Brooks, Tahj","Brooks, T",Tahj Brooks,,Tahj Brooks,Brooks,Tahj,,2002-05-13,2002,05,13
